video_id,channel_id,channel_name,duration_sec,category,video_url
-1ln9OXXCGQ,UCeuvxGn6xJB-4KbRGJYwf0A,Dr. Mahbubur Rahman,565.0,Waz,https://www.youtube.com/watch?v=-1ln9OXXCGQ
-6VEn1be2b0,UCF7USNwvrBhFCXsohC_U9ag,My AudioBook,2494.0,Audio-book,https://www.youtube.com/watch?v=-6VEn1be2b0
-9ndd6wI7PQ,UCBQ-OHytz7N-iP8G4bdb18w,Rangpur Funny Video,303.0,Comedy / Satire,https://www.youtube.com/watch?v=-9ndd6wI7PQ
-G48OneCI9Y,UC7De0oUYmSy8CCefqdHQP3Q,Sonatony Songo,5792.0,Music,https://www.youtube.com/watch?v=-G48OneCI9Y
-H7a2CHeNeo,UCz8kD6OLDUGgq7QqTN3nIyQ,Newsalap,352.0,Political,https://www.youtube.com/watch?v=-H7a2CHeNeo
-Qxp7KVTMpg,UC4TirhUjxScWpuLyPQxph7w,Islamic Waz HD TV,3671.0,Waz,https://www.youtube.com/watch?v=-Qxp7KVTMpg
-Vs57Qq2Y9Y,UCh83fPuSvIRacxpApEYa_CA,Cricket Live 360,3690.0,Commentary,https://www.youtube.com/watch?v=-Vs57Qq2Y9Y
-_sf2PvTrS8,UCKkco3ii64aHLMb8JilZP5g,Golpo Toru ред ржЧрж▓рзНржк рждрж░рзБ,2494.0,Audio-book,https://www.youtube.com/watch?v=-_sf2PvTrS8
-gYv1SWOn4s,UCbeBi9XuDyqbWE6nobdh8ig,TEN Studios,450.0,Movie,https://www.youtube.com/watch?v=-gYv1SWOn4s
-iKjyR6VJoM,UCVg8WjB-6bgtcYmrl1hj_Fg,ATN Bangla,1454.0,Health,https://www.youtube.com/watch?v=-iKjyR6VJoM
-oKeIfLJn70,UCql6nzU1vRapqcL1OVj7pbQ,Mr. Mixer's World,3111.0,Vlog,https://www.youtube.com/watch?v=-oKeIfLJn70
-qcVPXFJfec,UCF7USNwvrBhFCXsohC_U9ag,My AudioBook,3311.0,Audio-book,https://www.youtube.com/watch?v=-qcVPXFJfec
-tn95OUHZcE,UCiCnPY--pbn5S8JkJdV2PbQ,Bengali Movies- Angel Digital,6321.0,Movie,https://www.youtube.com/watch?v=-tn95OUHZcE
-u3loD1aOaE,UCqle5cwtPckB2N8sSQoynwg,Bangla Funny Natok,2905.0,Natok,https://www.youtube.com/watch?v=-u3loD1aOaE
007T9XKT_sE,UCwO2IsXSjviAoYnaYS2dAhQ,NTV Shows,5450.0,Comedy / Satire,https://www.youtube.com/watch?v=007T9XKT_sE
03TgBggahOQ,UCgPUBXXPV7V_ckmXzK9-EDg,Dhallywood Cineplex,8375.0,Movie,https://www.youtube.com/watch?v=03TgBggahOQ
06eT7ofZF-g,UCCuL_mX2s39ZSn9uK3tIFWw,Debate for Democracy,2961.0,Political,https://www.youtube.com/watch?v=06eT7ofZF-g
08YfNFs76O4,UCeR7Bie0iKwRZoIQX0htLGA,Cinemar Golpo,2293.0,Movie,https://www.youtube.com/watch?v=08YfNFs76O4
0EljF8gPLOo,UCjIi0uZg4h5Ar8gvLDTrGwA,GTV News,3496.0,Talk-show,https://www.youtube.com/watch?v=0EljF8gPLOo
0IXOvvLt9r0,UCKkco3ii64aHLMb8JilZP5g,Golpo Toru ред ржЧрж▓рзНржк рждрж░рзБ,2906.0,Audio-book,https://www.youtube.com/watch?v=0IXOvvLt9r0
0MLENS5OYcA,UC5T7NU1C2GRViwJgwLOXk2g,Abhijit Story Zone,4716.0,Audio-book,https://www.youtube.com/watch?v=0MLENS5OYcA
0NcvbzrhgQ0,UCCqIQrVd8vknHzLoYzg8OcQ,T Sports Bangladesh,3499.0,Commentary,https://www.youtube.com/watch?v=0NcvbzrhgQ0
0TwYGPRBYdI,UClGbJpMriOVQd0eLdJJoUDQ,ATN Bangla Talk Show,3064.0,Talk-show,https://www.youtube.com/watch?v=0TwYGPRBYdI
0faGOuTeBJA,UCjar4HMbjkbSu1vN1jtKiyQ,Bangla TV News,3655.0,Talk-show,https://www.youtube.com/watch?v=0faGOuTeBJA
0j3stvTDvjo,UCql6nzU1vRapqcL1OVj7pbQ,Mr. Mixer's World,2820.0,Vlog,https://www.youtube.com/watch?v=0j3stvTDvjo
0nXk7TfN8W4,UCA4y9g_GRdNrZLH_u5LLSdw,BanglaVision NEWS,3150.0,Talk-show,https://www.youtube.com/watch?v=0nXk7TfN8W4
0nenw3hVyvQ,UCA4y9g_GRdNrZLH_u5LLSdw,BanglaVision NEWS,2867.0,Talk-show,https://www.youtube.com/watch?v=0nenw3hVyvQ
0pKwwsE6T8M,UCDSr1O03HqPGQmQpukxeCPw,Bangla Audiobook,1332.0,Audio-book,https://www.youtube.com/watch?v=0pKwwsE6T8M
0wSK29V0oGc,UCmSsi2Kvrhwh1upoxgMPwxQ,Amader Toons,4384.0,Cartoon,https://www.youtube.com/watch?v=0wSK29V0oGc
0xjnUYIw8Hk,UCWFh6WA5EtY6iifRezDbVFw,Radio Din Raat 93.6fm,4953.0,Podcast,https://www.youtube.com/watch?v=0xjnUYIw8Hk
14INRVa5p2c,UCz8kD6OLDUGgq7QqTN3nIyQ,Newsalap,2163.0,Political,https://www.youtube.com/watch?v=14INRVa5p2c
19Ec7YwiQb4,UCeNFssPnBfjYw7q6BAQdsuw,WHAT A SHOW!,4683.0,Talk-show,https://www.youtube.com/watch?v=19Ec7YwiQb4
1B1qTOZn1kw,UC5T7NU1C2GRViwJgwLOXk2g,Abhijit Story Zone,4948.0,Audio-book,https://www.youtube.com/watch?v=1B1qTOZn1kw
1IcgfLGYAa0,UC5T7NU1C2GRViwJgwLOXk2g,Abhijit Story Zone,3121.0,Audio-book,https://www.youtube.com/watch?v=1IcgfLGYAa0
1Lu7oThP9dU,UC5T7NU1C2GRViwJgwLOXk2g,Abhijit Story Zone,4385.0,Audio-book,https://www.youtube.com/watch?v=1Lu7oThP9dU
1OsJHzUB8O4,UCjlqGztXLFoV8rV2SbOKLjQ,Rtv Entertainment,2423.0,Podcast,https://www.youtube.com/watch?v=1OsJHzUB8O4&list=PLJGCn5V1c05xEQ-YK6RPWUnTuEWBeLMG9&index=7
1PGyRpapa-w,UC5T7NU1C2GRViwJgwLOXk2g,Abhijit Story Zone,2240.0,Audio-book,https://www.youtube.com/watch?v=1PGyRpapa-w
1QArU6QRSkg,UCbeBi9XuDyqbWE6nobdh8ig,TEN Studios,6142.0,Movie,https://www.youtube.com/watch?v=1QArU6QRSkg
1UpaCOnY4lM,UCrRiwtYNh8rjTxT6lLIVCKg,Bhaktar Bhogoban,2057.0,Music,https://www.youtube.com/watch?v=1UpaCOnY4lM
1WIgCeqIUfw,UCR9-c_ryeb4OM_I3c3zUFYw,Bangladeshi Food Reviewer,2863.0,Vlog,https://youtu.be/1WIgCeqIUfw?si=u9WzTrIPy7jcuXHX
1aOG93X34tg,UCjar4HMbjkbSu1vN1jtKiyQ,Bangla TV News,3719.0,Talk-show,https://www.youtube.com/watch?v=1aOG93X34tg
1eqMTsxmVvY,UC5T7NU1C2GRViwJgwLOXk2g,Abhijit Story Zone,2355.0,Audio-book,https://www.youtube.com/watch?v=1eqMTsxmVvY
1jIWH-IqBoU,UCUbtdbJRpaXiUI_IlBOvPpA,Pinaki Bhattacharya,1228.0,Political,https://www.youtube.com/watch?v=1jIWH-IqBoU
1qm3eBxVRfs,UCrD0UteIcP4J1nzv-6DkVuw,R S MEDIA,6946.0,Waz,https://www.youtube.com/watch?v=1qm3eBxVRfs
1yu7-f5lO8w,UCA4y9g_GRdNrZLH_u5LLSdw,BanglaVision NEWS,2693.0,Talk-show,https://www.youtube.com/watch?v=1yu7-f5lO8w
2-eKO00JGeQ,UChRS6HyAZ5wrB9vZFXiKhuA,Abu Toha Adnan,4225.0,Waz,https://www.youtube.com/watch?v=2-eKO00JGeQ
23tARn1douQ,UCA4y9g_GRdNrZLH_u5LLSdw,BanglaVision NEWS,4508.0,Talk-show,https://www.youtube.com/watch?v=23tARn1douQ
